d,nb,nq,k,strategy,recall1,recallk,time_ms,speedup
32,10000,100,10,IndexFlatL2 (baseline),1.0000,1.0000,115.99,1.00
32,10000,100,10,ED-01 Fixed,0.9900,0.9290,35.76,3.24
32,10000,100,10,ED-02 Adaptive,0.3800,0.2780,18.85,6.15
32,10000,100,10,ED-03 Variance,0.5400,0.3820,24.15,4.80
32,10000,100,10,ED-04 Uncertainty,0.5400,0.3820,13.35,8.69
32,10000,100,10,ED-05 Dropout,0.4700,0.2900,72.23,1.61
32,10000,100,10,PA-01 Learned,0.9500,0.9730,26.96,4.30
32,10000,100,10,PA-02 Contextual,0.9700,0.9630,27.92,4.15
32,10000,100,10,PA-03 Missing,0.5300,0.7350,28.86,4.02
32,10000,100,10,PP-01 Parallel,0.9900,0.9950,34.43,3.37
32,10000,100,10,PP-02 CoarseToFine,0.9900,0.9950,53.00,2.19
32,10000,100,10,MR-01 Inhibition,1.0000,1.0000,209.35,0.55
32,10000,100,10,MR-02 Cache,1.0000,1.0000,197.91,0.59
32,10000,100,10,MR-03 Contrastive,0.4600,0.6960,30.61,3.79
128,10000,100,10,IndexFlatL2 (baseline),1.0000,1.0000,315.08,1.00
128,10000,100,10,ED-01 Fixed,0.4400,0.3470,44.75,7.04
128,10000,100,10,ED-02 Adaptive,0.2600,0.1900,24.34,12.95
128,10000,100,10,ED-03 Variance,0.3300,0.2120,17.39,18.12
128,10000,100,10,ED-04 Uncertainty,0.3300,0.2120,26.20,12.03
128,10000,100,10,ED-05 Dropout,0.6600,0.3320,219.45,1.44
128,10000,100,10,PA-01 Learned,0.9400,0.9720,59.76,5.27
128,10000,100,10,PA-02 Contextual,0.9400,0.9720,60.90,5.17
128,10000,100,10,PA-03 Missing,0.5100,0.7130,92.18,3.42
128,10000,100,10,PP-01 Parallel,0.9700,0.9790,81.41,3.87
128,10000,100,10,PP-02 CoarseToFine,0.9700,0.9790,73.80,4.27
128,10000,100,10,MR-01 Inhibition,1.0000,1.0000,323.90,0.97
128,10000,100,10,MR-02 Cache,1.0000,1.0000,315.66,1.00
128,10000,100,10,MR-03 Contrastive,0.4400,0.6510,60.42,5.22
512,10000,100,10,IndexFlatL2 (baseline),1.0000,1.0000,793.07,1.00
512,10000,100,10,ED-01 Fixed,0.3200,0.2170,55.25,14.35
512,10000,100,10,ED-02 Adaptive,0.1600,0.1260,33.03,24.01
512,10000,100,10,ED-03 Variance,0.2400,0.1540,30.76,25.79
512,10000,100,10,ED-04 Uncertainty,0.2400,0.1540,31.04,25.55
512,10000,100,10,ED-05 Dropout,0.6400,0.4040,777.29,1.02
512,10000,100,10,PA-01 Learned,0.8900,0.9170,183.91,4.31
512,10000,100,10,PA-02 Contextual,0.8900,0.9100,173.22,4.58
512,10000,100,10,PA-03 Missing,0.5300,0.7360,266.97,2.97
512,10000,100,10,PP-01 Parallel,0.8900,0.9220,270.89,2.93
512,10000,100,10,PP-02 CoarseToFine,0.8900,0.9220,132.77,5.97
512,10000,100,10,MR-01 Inhibition,1.0000,1.0000,829.41,0.96
512,10000,100,10,MR-02 Cache,1.0000,1.0000,814.92,0.97
512,10000,100,10,MR-03 Contrastive,0.5700,0.6670,179.48,4.42
